dataset_id,candidate,condition,execution_status,failure_class,scientific_pass_count,scientific_model_count,scientific_outcomes,screening_stage,seed,commit,coefficient_sha256,hamiltonian_sha256,ordered_grouping_sha256,unordered_grouping_sha256,cache_or_source,cache_numerically_equivalent,source
five_condition,two_term_center,H6,completed,,3,3,"{""original_one_term"": true, ""refit_one_term"": true, ""two_term"": true}",fixed_comparison_all_conditions,,92df2dbda9de5f41183af551b7acec06d88a3ada,23aba4966505bd7d45dc54ac296799d18eb0ac3f11372d3c803bec187442286e,c0498d974439cc65b9b8a2229163c4a8e153d184d2f533280165e6cb086c1956,857d6fcd77cfcf4a31cd435011268c80c4f3764c47b1300eba97c9f0ce91bad6,7060fe4e2b06aa10dcf006161c5a6f0f3554807e4cb64818c250d56a4451ff5b,/home/AbeHiromu/projects/Evaluation-of-gate-numbers-for-ground-state-energy-calculations-using-higher-order-product-formulae-two-term-holdout/artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/H6.json,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition,current_m3,H6,completed,,1,3,"{""original_one_term"": false, ""refit_one_term"": false, ""two_term"": true}",fixed_comparison_all_conditions,,92df2dbda9de5f41183af551b7acec06d88a3ada,da7fb750d1618a4ab25d7ab4f52f2b2d5a3b05b5f329f405a648219352d9fbf4,c0498d974439cc65b9b8a2229163c4a8e153d184d2f533280165e6cb086c1956,857d6fcd77cfcf4a31cd435011268c80c4f3764c47b1300eba97c9f0ce91bad6,7060fe4e2b06aa10dcf006161c5a6f0f3554807e4cb64818c250d56a4451ff5b,/home/AbeHiromu/projects/Evaluation-of-gate-numbers-for-ground-state-energy-calculations-using-higher-order-product-formulae-two-term-holdout/artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/H6.json,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition,two_term_center,H7,completed,,2,3,"{""original_one_term"": false, ""refit_one_term"": true, ""two_term"": true}",fixed_comparison_all_conditions,,92df2dbda9de5f41183af551b7acec06d88a3ada,23aba4966505bd7d45dc54ac296799d18eb0ac3f11372d3c803bec187442286e,a29087d0823340c047beb1ee2b1a0bc5bf9337fe7298b9bb28f17e8d090acadd,324b380caa59dc87ab8eaec9ddf2a681bda47f257f8063debf0db24e3d8dd529,d9005b89834d8dc81668fe32085fc8c4a91c3754daf1f61737ca501a6021f8fc,/home/AbeHiromu/projects/Evaluation-of-gate-numbers-for-ground-state-energy-calculations-using-higher-order-product-formulae-two-term-holdout/artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/H7.json,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition,current_m3,H7,completed,,1,3,"{""original_one_term"": false, ""refit_one_term"": false, ""two_term"": true}",fixed_comparison_all_conditions,,92df2dbda9de5f41183af551b7acec06d88a3ada,da7fb750d1618a4ab25d7ab4f52f2b2d5a3b05b5f329f405a648219352d9fbf4,a29087d0823340c047beb1ee2b1a0bc5bf9337fe7298b9bb28f17e8d090acadd,324b380caa59dc87ab8eaec9ddf2a681bda47f257f8063debf0db24e3d8dd529,d9005b89834d8dc81668fe32085fc8c4a91c3754daf1f61737ca501a6021f8fc,/home/AbeHiromu/projects/Evaluation-of-gate-numbers-for-ground-state-energy-calculations-using-higher-order-product-formulae-two-term-holdout/artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/H7.json,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition,two_term_center,NH3_sto3g,completed,,3,3,"{""original_one_term"": true, ""refit_one_term"": true, ""two_term"": true}",fixed_comparison_all_conditions,,92df2dbda9de5f41183af551b7acec06d88a3ada,23aba4966505bd7d45dc54ac296799d18eb0ac3f11372d3c803bec187442286e,c835639f8de4830eaec163bb82ff1e4c0dc2904a2686ead405f8c2c7feb4fd30,4ada4dda6db6903955a7329279341a3323f818542a40ba76d29cac886a7da8d1,c0b2f3ebf4642020e0fcc245c7518aad2577efc85d0df0b3f8224356d840c5b2,/home/AbeHiromu/projects/Evaluation-of-gate-numbers-for-ground-state-energy-calculations-using-higher-order-product-formulae-two-term-holdout/artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/NH3_sto3g.json,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition,current_m3,NH3_sto3g,completed,,3,3,"{""original_one_term"": true, ""refit_one_term"": true, ""two_term"": true}",fixed_comparison_all_conditions,,92df2dbda9de5f41183af551b7acec06d88a3ada,da7fb750d1618a4ab25d7ab4f52f2b2d5a3b05b5f329f405a648219352d9fbf4,c835639f8de4830eaec163bb82ff1e4c0dc2904a2686ead405f8c2c7feb4fd30,4ada4dda6db6903955a7329279341a3323f818542a40ba76d29cac886a7da8d1,c0b2f3ebf4642020e0fcc245c7518aad2577efc85d0df0b3f8224356d840c5b2,/home/AbeHiromu/projects/Evaluation-of-gate-numbers-for-ground-state-energy-calculations-using-higher-order-product-formulae-two-term-holdout/artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/NH3_sto3g.json,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition,two_term_center,NH3_631g,completed,,3,3,"{""original_one_term"": true, ""refit_one_term"": true, ""two_term"": true}",fixed_comparison_all_conditions,,92df2dbda9de5f41183af551b7acec06d88a3ada,23aba4966505bd7d45dc54ac296799d18eb0ac3f11372d3c803bec187442286e,9453a6ab028ded208ebb33aa83bddd91028b309552b04faea3b3ed7cb93fd5fc,f7e6066fa7f888e8d9e3f00bf95bf6107cf5811ba45d450f1c386edbfe664bae,6e0b976635512e943f7168e6cb15e38edc741a075f812bb0749d2870fb237d12,/home/AbeHiromu/projects/Evaluation-of-gate-numbers-for-ground-state-energy-calculations-using-higher-order-product-formulae-two-term-holdout/artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/NH3_631g.json,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition,current_m3,NH3_631g,completed,,1,3,"{""original_one_term"": false, ""refit_one_term"": false, ""two_term"": true}",fixed_comparison_all_conditions,,92df2dbda9de5f41183af551b7acec06d88a3ada,da7fb750d1618a4ab25d7ab4f52f2b2d5a3b05b5f329f405a648219352d9fbf4,9453a6ab028ded208ebb33aa83bddd91028b309552b04faea3b3ed7cb93fd5fc,f7e6066fa7f888e8d9e3f00bf95bf6107cf5811ba45d450f1c386edbfe664bae,6e0b976635512e943f7168e6cb15e38edc741a075f812bb0749d2870fb237d12,/home/AbeHiromu/projects/Evaluation-of-gate-numbers-for-ground-state-energy-calculations-using-higher-order-product-formulae-two-term-holdout/artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/NH3_631g.json,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition,two_term_center,NH3_ccpvdz,completed,,3,3,"{""original_one_term"": true, ""refit_one_term"": true, ""two_term"": true}",fixed_comparison_all_conditions,,92df2dbda9de5f41183af551b7acec06d88a3ada,23aba4966505bd7d45dc54ac296799d18eb0ac3f11372d3c803bec187442286e,52f0b7fa697374ede3957646d27c9bf85d098b79edae843b9cf8fab3f7b99d47,1149cac8eebec157f115637cba0b13551ce8c823fade420e5764c5cafc468870,87e8d8d4e83e6a3195658bd312dc912476906458e73001c4181666605ec661a4,/home/AbeHiromu/projects/Evaluation-of-gate-numbers-for-ground-state-energy-calculations-using-higher-order-product-formulae-two-term-holdout/artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/NH3_ccpvdz.json,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
five_condition,current_m3,NH3_ccpvdz,completed,,1,3,"{""original_one_term"": false, ""refit_one_term"": false, ""two_term"": true}",fixed_comparison_all_conditions,,92df2dbda9de5f41183af551b7acec06d88a3ada,da7fb750d1618a4ab25d7ab4f52f2b2d5a3b05b5f329f405a648219352d9fbf4,52f0b7fa697374ede3957646d27c9bf85d098b79edae843b9cf8fab3f7b99d47,1149cac8eebec157f115637cba0b13551ce8c823fade420e5764c5cafc468870,87e8d8d4e83e6a3195658bd312dc912476906458e73001c4181666605ec661a4,/home/AbeHiromu/projects/Evaluation-of-gate-numbers-for-ground-state-energy-calculations-using-higher-order-product-formulae-two-term-holdout/artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/NH3_ccpvdz.json,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json
