dataset_id,evidence_role,condition,pf,model,candidate_scope,eta_star,eta_min,eta_t,maximum_unseen_residual_over_epsilon,direct_cost_at_predicted_time,model_cost_at_predicted_time,predicted_time,saved_grid_minimum_time,saved_grid_minimum_cost,stored_pass,recomputed_pass,pass_matches,maximum_metric_reproduction_difference,metric_reproduction_pass,source,source_status,metrics_available,optimum_interior,recomputed_joint_pass
five_condition_holdout,coefficient_fixed_holdout,H6,two_term_center,original_one_term,fixed_comparison_pf,0.009900683633604244,0.0005166901203608187,0.014593864861402683,0.015389392814149309,135063570.99446765,136400792.68130872,0.9898406669487186,1.0045002072262292,134993821.0208364,True,True,True,0.0,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json,,,,
five_condition_holdout,coefficient_fixed_holdout,H6,two_term_center,refit_one_term,fixed_comparison_pf,0.009545163137858916,0.00049095123525289,0.014221485406743173,0.014920406734234162,135060096.4040181,136349267.0576094,0.9902147221880909,1.0045002072262292,134993821.0208364,True,True,True,0.0,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json,,,,
five_condition_holdout,coefficient_fixed_holdout,H6,two_term_center,two_term,fixed_comparison_pf,2.586860688362409e-05,0.0,0.0,7.013925243696833e-05,134993821.0208364,134997313.12292412,1.0045002072262292,1.0045002072262292,134993821.0208364,True,True,True,0.0,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json,,,,
five_condition_holdout,coefficient_fixed_holdout,H6,current_m3,original_one_term,fixed_comparison_pf,0.01698421808019161,0.0016783885921289876,0.02477557647953732,0.028232632453951648,117452759.50206824,119447602.78357166,1.130328683486731,1.1590446836907113,117255958.43906496,False,False,True,0.0,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json,,,,
five_condition_holdout,coefficient_fixed_holdout,H6,current_m3,refit_one_term,fixed_comparison_pf,0.016402073065011857,0.0016011862611431393,0.024141803700608033,0.027392464300240775,117443707.06875478,119370027.33312234,1.1310632544568169,1.1590446836907113,117255958.43906496,False,False,True,0.0,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json,,,,
five_condition_holdout,coefficient_fixed_holdout,H6,current_m3,two_term,fixed_comparison_pf,0.0010199955732605977,0.0,0.0,0.0015156556211767345,117255958.43906496,117375558.99761124,1.1590446836907113,1.1590446836907113,117255958.43906496,True,True,True,0.0,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json,,,,
five_condition_holdout,coefficient_fixed_holdout,H7,two_term_center,original_one_term,fixed_comparison_pf,0.010052442358920048,0.0005329581781496895,0.014846266759927729,0.015646488628329337,248619558.44754604,251118792.22814015,1.0327277003004793,1.0482909067440074,248487125.2020047,False,False,True,0.0,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json,,,,
five_condition_holdout,coefficient_fixed_holdout,H7,two_term_center,refit_one_term,fixed_comparison_pf,0.00968568431585752,0.0005059881833409108,0.014461853898057542,0.015161741702325674,248612856.75106928,251020842.39842364,1.0331306768080133,1.0482909067440074,248487125.2020047,True,True,True,0.0,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json,,,,
five_condition_holdout,coefficient_fixed_holdout,H7,two_term_center,two_term,fixed_comparison_pf,5.89683827412002e-06,0.0,0.0,4.148046075863533e-05,248487125.2020047,248488590.49039522,1.0482909067440074,1.0482909067440074,248487125.2020047,True,True,True,0.0,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json,,,,
five_condition_holdout,coefficient_fixed_holdout,H7,current_m3,original_one_term,fixed_comparison_pf,0.017102990479524852,0.0017184581548965738,0.024960998439937487,0.029010216658006262,216210566.84846735,219908414.11484936,1.1792969989068247,1.2094870020788393,215839655.43243942,False,False,True,0.0,True,artifacts/m3_one_two_term_model_comparison_server2_20260910_92df2db_cpu/summary.json,,,,
